uuid,title,author,summary,url,published_at,added_at,related_url,essential,tweets
81650853-c602-4c51-b7f6-be8973afd730,The Twelve-Factor App,Adam Wiggins,,http://12factor.net/,2012-01-30 00:00:00 UTC,2014-08-10 00:00:00 UTC,,TRUE,1445
f4f584d9-2787-49d6-bdbf-0f0c5b557e9c,Diving in Rails - The request handling,Adrien Siami,"Today I’ll speak about how Rails handles requests, its relation to rack and more globally what is happening when you submit a request to a HTTP server backed by a Rails application.",http://blog.siami.fr/diving-in-rails-the-request-handling,2014-07-10 10:38:31 UTC,2014-07-22 10:38:31 UTC,,FALSE,45
32427487-4968-4594-8e57-60533933b46f,"So Long Scrum, Hello Kanban - Stormpath User Management API",Alex Salazar,"Kanban’s power comes from its focus on getting fewer items out faster through work in progress limits. Like anything, it’s not perfect and it may not be right for everyone in every situation but ultimately, we ended up with a happy team, higher productivity, less tension between the business and engineering, higher quality software, and A LOT less overhead.",https://stormpath.com/blog/so-long-scrum-hello-kanban/,2014-01-20 10:38:30 UTC,2014-07-22 10:38:30 UTC,,FALSE,150
df2e8a31-535c-4798-84c3-cd83ef975776,Better Specs: RSpec Guidelines With Ruby,Andrea Reginato,"RSpec is a great tool in the behavior-driven development (BDD) process of writing human readable specifications that direct and validate the development of your application. On the web there are many resources that give complete overview of _what_ you can do with RSpec. But there are fewer resources devoted to how to create a great RSpec test suite. Better Specs tries to fill this gap by collecting most of the best practices"" that other developers learn through years of experience.""",http://betterspecs.org/,,2014-08-10 00:00:00 UTC,,TRUE,1408
58c56963-b6b3-4b2f-b840-9bd09eb9961d,"There’s only a few ways to scale user growth, and here’s the list",Andrew Chen,"1. Paid acquisition, 2. Virality, 3. SEO, 4. Sales, 5. Other",http://andrewchen.co/2014/07/08/theres-only-a-few-ways-to-scale-user-growth-and-heres-the-list/,2014-07-08 00:00:00 UTC,2014-08-15 00:00:00 UTC,,FALSE,
cb144ad6-1193-499f-bba9-3f7b21820dbe,Why you should make it easy for users to quit your product,Andrew Chen,"My central argument is that if you believe that every startup is an iterative learning process that converges towards product/market fit, then you need extremely high-fidelity signals to tell you if you’re going in the right direction. That means that along with trying to charge people money from early on, which is the highest form of “I love this!” you should give people valves to tell you “I hate this!” so that you can learn more faster.",http://andrewchen.co/2009/06/15/why-you-should-make-it-easy-for-users-to-quit-your-product/,2009-06-15 19:03:50 UTC,2014-08-10 00:00:00 UTC,,FALSE,3
98e30cbe-802c-4db8-a079-0973ec3a70d3,Zero to Product/Market Fit (Presentation),Andrew Chen,"A few months ago, I spoke to a group of entrepreneurs at Stanford whose seed stage companies were still struggling to get product/market fit. I wrote down a few thoughts on the topic and turned it into slides. It’s really an extended version of this essay from 2011, but incorporates some newer thinking based on stuff I’ve learned in the meantime.",http://andrewchen.co/2013/10/14/zero-to-productmarket-fit-presentation/,2013-10-14 19:03:49 UTC,2014-08-10 00:00:00 UTC,,TRUE,528
4add0cbd-5acb-4d5f-b664-81d48317a37d,A study on unplanned interruptions in software development,Arshad Hossain,Interruption is part of work. Nobody can expect to lock himself away and work alone interruption free. So there needs to be a collective effort and awareness to curb the common unplanned interruption.,http://novicearshad.wordpress.com/2012/01/24/unplanned-interruptions-in-software-development/,2012-01-24 10:38:30 UTC,2014-07-22 10:38:30 UTC,,FALSE,42
6d7bb6ab-3085-4a7b-b24a-a1f44f453908,Culture Code - Asana,Asana,"Asana is a group of peers on a bold mission: to help humanity thrive by enabling all teams to work together effortlessly. Learn more about Asana's culture: - How shared core values impact decision making and culture, - How we hire extraordinary people, - How we stay healthy & happy in the office, - How we get things done through Episodes, special weeks, hackathons, and using our product.",http://www.slideshare.net/asana/culture-code-asana-29674527,2014-01-03 19:03:51 UTC,2014-08-10 00:00:00 UTC,,FALSE,50
7b670b52-2358-402b-95fd-36f6dea532c8,Bootstrapping a Lean Startup,Ash Maurya,"At every stage of the startup, there are a set of actions that are “right” for the startup, in that they maximize return on time, money, and effort. A lean/bootstrapped entrepreneur ignores all else.",http://practicetrumpstheory.com/2010/03/bootstrapping-a-lean-startup/,2010-03-01 19:03:50 UTC,2014-08-10 00:00:00 UTC,,FALSE,118
73e7193b-0a06-445b-be77-3ac06b34e1ce,The First Thing That Matters: Product/Market Fit,Ash Maurya,"While I completely agree that achieving product/market fit is the necessary prerequisite to kicking into growth mode, I believe some level of preliminary landing page and positioning testing is absolutely required towards achieving product/market fit. After our call, I re-read both Steve Blank’s and Sean Ellis’ views on this and think they would agree too. Although I think Steve has a stricter definition of what achieving Product/Market fit looks like than Sean.",http://practicetrumpstheory.com/2009/11/achievingproductmarketfit/,2009-11-01 19:03:50 UTC,2014-08-10 00:00:00 UTC,,FALSE,38
f57af391-68fa-4e82-a53f-eb2fb944cfcd,The Lean Analytics Cycle: Metrics > Hypothesis > Experiment > Act,Avinash Kaushik,"To win in business you need to follow this process: Metrics > Hypothesis > Experiment > Act. Online, offline or nonline.",http://www.kaushik.net/avinash/lean-analytics-cycle-metrics-hypothesis-experiment-act/,2013-04-08 17:22:34 UTC,2014-08-03 17:22:34 UTC,,FALSE,905
60ed1467-d6e7-4739-92fa-369f09801640,1-(wo)man Startups,Babak Nivi,"The AngelList team is roughly organized into 1-(wo)man startups. That means we expect you to treat your project like a startup. You come up with the idea, do the design, write the code, release it, market it, support customers, collect external and internal feedback and then get to work on the next version. We also expect you to work directly with our business partners like SecondMarket, VC funds and incubators.",http://venturehacks.com/articles/1-wo-man-startups,2013-02-15 00:00:00 UTC,,,,
1496c85f-f5f7-4ff4-9e1b-e6588fa5b5c5,"Ask Forgiveness, Not Permission",Babak Nivi,"AngelList “corporate policy” is that team members should ask forgiveness, not permission. We would rather have someone do something wrong than ask permission to do it. Or better, we would rather have someone do something right and not need permission to do it. This is the most common outcome. We would rather have people ship to production whenever they want, than go through an internal review process. We can fix it on production. We prefer the customer’s review process. And it isn’t too hard to reveal a new feature to a small portion of our users and iterate on it as we expand it to more users.",http://venturehacks.com/articles/ask-forgiveness-not-permission,2013-02-11 00:00:00 UTC,,,,
83c39a23-7e38-48b2-88af-73400c0fdb7d,"Five Whys, Part 1: The Startup Immune System",Babak Nivi,"Whenever you find a defect, ask why five times to discover the root cause of the problem. Then make corrections at every level of the analysis. By applying five whys whenever you find a defect, you will (1) uncover the human problems beneath technical problems and (2) build an immune system for your startup.",http://venturehacks.com/articles/five-whys,2008-11-04 00:00:00 UTC,,,,
8ee4cb0e-c37b-4e15-b92d-3f95965da09f,"Five Whys, Part 2: How to Get Started",Babak Nivi,Get started with five whys by applying it to a specific team with a specific problem. Select a five whys master to conduct a post mortem with everyone who was involved in the problem. Email the results of the analysis to the whole company. Repeatedly applying five whys at IMVU created a startup immune system that let our developers go faster by reducing mistakes.,http://venturehacks.com/articles/five-whys-2,2008-11-17 00:00:00 UTC,,,,
42c89b09-55be-40e1-9031-45f8afbd5edc,"Five Whys, Part 3: Legacy Startups",Babak Nivi,"It’s never too late to start applying five whys, even if you’re saddled with zillions of lines of legacy code. Just start asking why whenever you find a problem—you’ll automatically start fixing the 20% of underlying issues that cause 80% of your problems. Five whys was first discovered by Toyota—if it can work for cars, it can work for you.",http://venturehacks.com/articles/five-whys-3,2008-11-19 00:00:00 UTC,,,,
d68b5c15-b703-4d7a-af1b-a68bc088efab,How to Bring a Product to Market / A Very Rare Interview with Sean Ellis - by Babak Nivi,Babak Nivi,"In an early stage startup you have an opportunity to put a product out there, get that initial user feedback, and then you have two choices. If that feedback is really strong and the users say that they’d be very disappointed without it, in a large percentage, then you can try to grow the business. Alternatively, if they come back and say that they wouldn’t be that disappointed without the product, then you have the choices where you can either try to grow it or you can decide that you’re not going to try and grow the business. And to me, my recommendation has always been to decide not to grow the business if it doesn’t have a lot of people that are real passionate about the solutions.",http://venturehacks.com/articles/sean-ellis-interview,2009-12-14 00:00:00 UTC,,,,
64bf1eb2-7c47-423e-aabf-58e9cd98aa6f,"How to Bring a Product to Market, Part 2 — After Product/Market Fit",Babak Nivi,"Here, Sean Ellis explains what you do after fit: optimizing your positioning, implementing a business model, and optimizing your funnel — all so you’re prepared to acquire users quickly and profitably.",http://venturehacks.com/articles/sean-ellis-interview-2,2010-01-12 00:00:00 UTC,,,,
832168d8-a579-438d-9bd6-89c931cf2534,"Lawyers Are Referees, Not Coaches",Babak Nivi,"Lawyers teach you the rules of the game. But they usually can’t teach you how to play it. Lawyers say whether you can do something, within the confines of the law and your existing contracts. Lawyers will also write the contracts and do the filings. But they usually can’t tell you what to do—that’s what coaches do. A lawyer knows that you’re not breaking any laws or contracts if you give a common board seat to a new CEO. He also knows how to write the contract. But an advisor knows the possible outcomes of that decision.",http://venturehacks.com/articles/referees,2008-06-12 00:00:00 UTC,,,,
